Admission GPA GMAT 
admit 2.96 596 
admit 3.14 473 
admit 3.22 482 
admit 3.29 527 
admit 3.69 505 
admit 3.46 693 
admit 3.03 626 
admit 3.19 663 
admit 3.63 447 
admit 3.59 588 
admit 3.30 563 
admit 3.40 553 
admit 3.50 572 
admit 3.78 591 
admit 3.44 692 
admit 3.48 528 
admit 3.47 552 
admit 3.35 520 
admit 3.39 543 
admit 3.28 523 
admit 3.21 530 
admit 3.58 564 
admit 3.33 565 
admit 3.40 431 
admit 3.38 605 
admit 3.26 664 
admit 3.60 609 
admit 3.37 559 
admit 3.80 521
admit 3.76 646
admit 3.24 467
do_not_admit 2.54 446 
do_not_admit 2.43 425 
do_not_admit 2.20 474 
do_not_admit 2.36 531 
do_not_admit 2.57 542 
do_not_admit 2.35 406 
do_not_admit 2.51 412 
do_not_admit 2.51 458 
do_not_admit 2.36 399 
do_not_admit 2.36 482 
do_not_admit 2.66 420 
do_not_admit 2.68 414 
do_not_admit 2.48 533 
borderline 2.46 509 
borderline 2.63 504 
borderline 2.44 336 
borderline 2.13 408 
borderline 2.41 469 
borderline 2.55 538 
borderline 2.31 505 
borderline 2.41 489 
borderline 2.19 411 
borderline 2.35 321 
borderline 2.60 394 
borderline 2.55 528 
borderline 2.72 399 
borderline 2.85 381
borderline 2.90 384
borderline 2.86 494
borderline 2.85 496
borderline 3.14 419
borderline 3.28 371
borderline 2.89 447
borderline 3.15 313
borderline 3.50 402
borderline 2.89 485
borderline 2.80 444
borderline 3.13 416
borderline 3.01 471
borderline 2.79 490
borderline 2.89 431
borderline 2.91 446
borderline 2.75 546
borderline 2.73 467
borderline 3.12 463
borderline 3.08 440
borderline 3.03 419
borderline 3.00 509
borderline 3.03 438
borderline 3.05 399
borderline 2.85 483
borderline 3.01 453
borderline 3.03 414
borderline 3.04 446
